"UniqueId","FullName","University","JoinYear","SubField","Bachelors","Doctorate"
"1","Adam Doupé","Georgia Institute of Technology","2014","Economics & Computation","Arizona State University","University of California, Santa Barbara"
"3","Arunabha Sen","Arizona State University","1987","Computer Networks","Jadavpur University","University of South Carolina"
"4","Ashraf Gaffar","Arizona State University","2012","Human-Computer Interaction","TU Dortmund","Concordia University"
"6","Baoxin Li","Arizona State University","2004","Computer Graphics","University of Science and Technology of China","University of Maryland"
"8","Brian C. Nelson","Arizona State University","2017","Programming Languages","Washington State University","Harvard University"
"10","Charles Colbourn","Arizona State University","2001","Algorithms & Complexity","University of Toronto","University of Toronto"
"11","Chitta Baral","Arizona State University","1999","Cryptography","Indian Institute of Technology Kharagpur","University of Maryland"
"12","Dijiang Huang","Arizona State University","2005","Natural Language Processing","Beijing University of Posts and Telecommunications","University of Missouri-Kansas City"
"13","Fengbo Ren","Arizona State University","2015","Software Engineering","Zhejiang University","University of California, Los Angeles"
"14","Ruoyu "Fish" Wang","Arizona State University","2018","Artificial Intelligence","Arizona State University","University of California, Santa Barbara"
"15","Gail-Joon Ahn","Arizona State University","2008","Computer Security","Arizona State University","George Mason University"
"16","Georgios E. Fainekos","Arizona State University","2009","Robotics","National Technical University of Athens","University of Pennsylvania"
"17","Guoliang Xue","Arizona State University","2001","Computer Vision","Qufu Normal University","University of Minnesota"
"18","Hasan Davulcu","Arizona State University","2002","Artificial Intelligence","Middle East Technical University","Stony Brook University"
"19","Heni Ben Amor","Arizona State University","2011","Robotics","University of Koblenz and Landau","Freiberg University of Mining and Technology"
"20","Huan Liu","Arizona State University","2000","Machine Learning & Data Mining","Shanghai Jiao Tong University","University of Southern California"
"21","James S. Collofello","Arizona State University","1979","Artificial Intelligence","Northern Illinois University","Northwestern University"
"22","Jia Zou","Arizona State University","2019","Databases","Northwestern Polytechnical University","Tsinghua University"
"24","John Femiani","Arizona State University","1998","Software Engineering","Arizona State University","Arizona State University"
"25","Joohyung Lee","Arizona State University","2005","Artificial Intelligence","Seoul National University","University of Texas at Austin"
"26","K. Selçuk Candan","Arizona State University","1997","Databases","Bilkent University","University of Maryland"
"27","Kevin Gary","Arizona State University","2004","Software Engineering","State University of New York at Albany","Arizona State University"
"28","Kurt VanLehn","Arizona State University","2008","Artificial Intelligence","Stanford University","Massachusetts Institute of Technology"
"30","Ming Zhao","Arizona State University","2015","High-Performance Computing","Tsinghua University","University of Florida"
"31","Mohamed Sarwat","Arizona State University","2015","Databases","Cairo University","University of Minnesota"
"32","Partha Dasgupta","Arizona State University","1991","Computer Security","Indian Institute of Technology Kharagpur","Stony Brook University"
"33","Pitu Mirchandani","Arizona State University","2009","Embedded & Real-Time Systems","University of California, Los Angeles","Massachusetts Institute of Technology"
"34","Rida A. Bazzi","Arizona State University","1996","Computer Security","American University of Beirut","Georgia Institute of Technology"
"35","Robert Atkinson","Arizona State University","2024","Human-Computer Interaction","California State University, Chico","University of Wisconsin-Madison"
"36","Ross Maciejewski","Arizona State University","2011","Visualization","University of Missouri","Aarhus University"
"37","Sandeep K. S. Gupta","Arizona State University","2001","Mobile Computing","Indian Institute of Technology (BHU) Varanasi","Ohio State University"
"38","Sarma Vrudhula","Arizona State University","2005","Logic & Verification","University of Waterloo","University of Southern California"
"39","Siddharth Srivastava","Arizona State University","2017","Artificial Intelligence","Indian Institute of Technology Kanpur","University of Massachusetts Amherst"
"40","Sik-Sang Yau","Arizona State University","1994","Software Engineering","Beijing University of Posts and Telecommunications","University of Illinois at Urbana-Champaign"
"41","Srividya Bansal","Arizona State University","2010","Software Engineering","National Institute of Technology, Warangal","University of Texas at Dallas"
"42","Subbarao Kambhampati","Arizona State University","1991","Artificial Intelligence","Indian Institute of Technology Madras","University of Maryland"
"43","Tiffany Bao","Arizona State University","2019","Computer Security","Peking University","Carnegie Mellon University"
