idSuggestion,idSuggestionType,idUniqueID,idProfile,suggestion,active,confidence,last_updated
1,1,1,2,Adam Doupé,1,27,2022-10-15 02:42:22
2,2,1,2,Arizona State University,1,30,2024-05-16 16:05:57
3,7,1,2,2014,1,25,2024-12-30 21:01:04
4,9,1,2,Artificial Intelligence,1,28,2024-11-04 18:10:56
5,3,1,2,Arizona State University,1,20,2024-06-12 03:30:39
6,5,1,2,"University of California, Santa Barbara",1,14,2024-05-30 19:11:12
7,1,2,2,Andréa W. Richa,1,10,2020-08-28 20:34:42
8,2,2,2,Arizona State University,1,18,2023-12-11 22:21:31
9,7,2,2,1998,1,10,2020-08-28 20:34:42
10,9,2,2,Algorithms & Complexity,1,14,2023-03-24 16:11:40
11,3,2,2,American University of Beirut,1,10,2020-08-28 20:34:42
12,5,2,2,Carnegie Mellon University,1,10,2020-08-28 20:34:42
13,1,3,2,Arunabha Sen,1,10,2020-08-28 20:34:42
14,2,3,2,Arizona State University,1,16,2025-02-17 19:10:11
15,7,3,2,1987,1,16,2021-11-03 05:18:11
16,9,3,2,Computer Graphics,1,10,2020-08-28 20:34:42
17,3,3,2,Jadavpur University,1,12,2022-10-13 00:37:08
18,5,3,2,University of South Carolina,1,10,2020-08-28 20:34:42
19,1,4,2,Ashraf Gaffar,1,10,2020-08-28 20:34:42
20,2,4,2,Arizona State University,1,14,2023-05-13 17:20:27
21,7,4,2,2012,1,12,2021-10-18 19:18:37
22,9,4,2,Human-Computer Interaction,1,14,2024-01-17 08:53:31
23,3,4,2,TU Dortmund,1,10,2020-08-28 20:34:42
24,5,4,2,Concordia University,1,10,2020-08-28 20:34:42
25,1,5,2,Aviral Shrivastava,1,10,2020-08-28 20:34:42
26,2,5,2,Arizona State University,1,12,2022-08-03 17:32:17
27,7,5,2,2012,1,10,2020-08-28 20:34:42
28,9,5,2,Embedded & Real-Time Systems,1,10,2020-08-28 20:34:42
29,3,5,2,Indian Institute of Technology Delhi,1,10,2020-08-28 20:34:42
30,5,5,2,"University of California, Irvine",1,10,2020-08-28 20:34:42
31,1,6,2,Baoxin Li,1,10,2020-08-28 20:34:42
32,2,6,2,Arizona State University,1,14,2023-03-08 17:16:33
33,7,6,2,2004,1,10,2020-08-28 20:34:42
34,9,6,2,Machine Learning & Data Mining,1,10,2020-08-28 20:34:42
35,3,6,2,University of Science and Technology of China,1,10,2020-08-28 20:34:42
36,5,6,2,University of Maryland,1,10,2020-08-28 20:34:42
37,1,7,2,Baoxin Lina,1,10,2020-08-28 20:34:42
38,2,7,2,Arizona State University,1,10,2020-08-28 20:34:42
39,7,7,2,2004,1,10,2020-08-28 20:34:42
40,9,7,2,Computer Graphics,1,10,2020-08-28 20:34:42
41,3,7,2,Beijing University of Posts and Telecommunications,1,10,2020-08-28 20:34:42
42,5,7,2,University of Maryland,1,10,2020-08-28 20:34:42
43,1,8,2,Brian C. Nelson,1,14,2024-11-01 05:30:46
44,2,8,2,Arizona State University,1,10,2020-08-28 20:34:42
45,7,8,2,2017,1,10,2020-08-28 20:34:42
46,9,8,2,Interdisciplinary Areas,0,10,2020-10-28 02:48:17
47,3,8,2,Washington State University,1,10,2020-08-28 20:34:42
48,5,8,2,Harvard University,1,12,2022-05-17 13:58:40
49,1,9,2,Carole-Jean Wu,1,10,2020-08-28 20:34:42
50,2,9,2,Arizona State University,1,12,2023-05-15 12:24:25
51,7,9,2,2012,1,10,2020-08-28 20:34:42
52,9,9,2,Computer Architecture,1,18,2023-09-18 19:24:51
53,3,9,2,Cornell University,1,12,2021-03-23 05:44:44
